20 1869
9 1 77
0 3 96
3 2 59
19 7 16
11 1 43
19 4 6
1 12 49
13 1 4
18 8 87
7 3 23
10 19 81
3 9 24
3 16 18
19 14 62
3 10 49
9 14 32
10 13 6
3 8 61
0 4 73
0 11 90
1 15 27
16 8 9
9 6 59
4 15 49
18 14 79
16 6 1
10 17 45
11 18 69
10 8 60
1 13 60
4 3 29
11 5 90
0 15 86
12 5 53
8 15 0
8 4 78
14 11 15
19 9 18
0 12 45
13 11 85
8 1 63
11 1 20
14 8 15
3 11 22
15 16 9
0 13 40
6 18 97
18 5 98
4 16 80
8 9 57
11 10 7
11 10 50
3 13 19
3 17 39
5 10 79
10 6 22
0 8 17
15 5 98
16 17 60
4 16 21
9 2 57
1 5 55
16 7 1
9 11 5
17 3 46
4 3 38
3 1 2
14 8 62
11 15 27
5 15 77
19 17 0
12 10 48
5 7 3
6 8 98
8 9 9
17 3 75
7 19 4
16 5 1
5 16 31
17 16 83
19 6 39
1 10 42
2 12 50
8 11 83
0 6 24
8 12 54
0 16 40
6 0 77
6 17 96
13 7 76
12 6 92
4 10 6
7 1 92
7 16 4
0 12 52
13 15 69
10 15 60
17 8 27
1 10 68
13 12 28
10 14 25
19 7 54
8 4 48
0 14 63
3 18 25
10 3 87
6 15 71
4 9 57
8 10 4
15 14 53
15 10 88
11 3 8
3 18 61
16 5 14
7 4 40
2 17 18
13 4 52
10 5 30
6 18 93
3 9 91
9 5 4
10 11 42
11 8 81
2 10 45
10 17 60
15 2 3
10 6 17
19 11 89
17 9 4
19 18 86
1 2 53
7 16 6
11 13 74
8 5 44
17 5 56
1 18 82
11 16 54
19 10 65
3 10 6
19 13 38
12 10 38
1 16 77
18 7 14
6 14 30
14 3 72
1 4 23
5 17 73
18 10 36
4 13 78
16 4 94
4 10 38
2 9 15
3 8 60
9 8 92
15 0 30
4 9 16
0 16 78
12 10 1
19 1 23
17 18 72
17 1 66
1 9 75
1 17 56
0 18 1
10 3 81
5 13 28
18 2 52
5 12 84
5 17 91
11 6 21
14 17 63
5 0 95
15 16 79
12 13 10
17 12 79
11 7 99
6 16 51
3 17 6
9 8 22
0 5 51
2 6 9
13 6 98
14 1 53
5 18 83
3 11 28
11 8 15
14 17 1
2 4 49
18 8 72
0 1 31
14 8 70
19 11 63
3 18 84
10 3 7
19 3 95
14 10 62
9 2 30
16 10 99
19 4 86
16 14 44
5 19 8
18 2 85
15 1 42
1 7 30
4 13 6
6 8 56
5 16 26
10 4 36
12 19 52
14 15 5
17 0 48
19 13 41
2 1 97
0 5 58
14 12 10
1 11 75
3 9 56
15 4 36
18 5 54
12 10 13
12 8 98
5 2 81
5 7 30
5 0 68
14 5 15
18 13 66
6 11 21
2 19 80
15 5 83
6 19 94
16 10 10
3 6 19
9 16 14
3 4 70
14 13 95
7 13 36
12 3 39
0 10 47
0 6 60
11 3 28
0 6 34
12 10 81
16 3 34
2 19 65
1 0 83
9 14 62
9 0 16
16 9 99
16 15 72
12 7 41
9 2 33
3 5 10
14 17 91
17 9 83
1 5 40
4 19 30
13 16 66
2 13 43
19 7 72
12 5 0
2 11 38
1 12 30
8 14 76
1 12 50
14 1 4
14 4 69
12 6 65
14 18 69
0 2 56
6 15 92
2 8 43
3 14 58
13 4 68
11 2 58
7 2 70
10 7 99
5 12 50
12 8 63
12 10 29
13 19 99
14 9 50
15 11 64
14 6 80
8 5 42
19 9 87
10 0 79
14 15 28
8 15 93
18 7 64
0 9 0
8 7 23
2 16 11
2 8 1
5 16 80
17 9 77
3 7 54
11 12 22
2 6 18
7 4 34
5 10 97
14 1 25
9 17 17
1 16 80
4 17 64
15 7 38
11 13 91
7 1 46
15 18 64
7 12 18
7 10 21
9 11 48
1 16 44
17 19 50
18 5 82
17 2 47
16 15 27
15 1 97
9 8 57
15 8 0
6 1 65
6 4 89
9 13 46
18 0 74
8 13 36
2 19 41
16 7 76
18 8 92
8 6 53
5 8 72
4 18 57
19 14 13
0 5 46
18 6 16
10 0 70
1 19 33
17 11 22
16 4 50
2 3 63
19 3 13
13 0 65
2 11 61
14 5 72
19 13 12
10 13 7
1 0 11
19 17 48
7 0 27
11 1 33
16 14 13
4 8 34
14 11 20
5 1 13
7 11 97
15 19 66
8 6 86
8 7 32
11 15 77
12 10 50
7 2 59
10 3 85
15 8 48
9 16 61
3 16 73
14 2 74
13 7 33
1 16 64
2 14 69
3 8 13
19 13 99
6 19 76
15 5 88
17 15 20
0 10 58
19 0 58
2 10 68
15 1 21
15 8 88
15 5 24
8 3 77
14 11 27
18 1 21
3 12 81
10 15 47
15 13 95
19 0 73
12 15 55
18 8 70
1 15 86
1 14 28
4 14 25
18 13 61
0 13 81
17 15 34
1 12 59
15 1 25
13 9 64
9 4 19
15 17 15
0 6 95
18 3 81
8 5 36
2 16 10
0 14 23
2 16 75
11 1 38
16 19 90
6 17 94
9 4 45
5 16 56
8 16 79
16 11 19
4 2 99
7 15 3
2 15 55
0 3 69
8 9 24
19 2 98
6 10 30
6 0 38
6 14 56
9 12 4
0 1 8
5 0 43
13 2 71
10 13 28
4 5 70
16 12 46
5 3 7
0 17 45
1 0 27
8 15 80
18 15 84
11 7 65
8 17 0
12 16 4
13 2 57
12 10 61
0 7 62
6 2 59
8 15 27
3 0 80
2 17 7
1 15 26
19 16 5
16 7 15
2 15 63
14 4 6
8 16 57
12 8 21
17 2 24
13 19 28
1 4 78
11 18 4
2 4 75
7 18 75
17 12 21
1 5 18
5 19 97
9 13 66
17 16 26
1 5 38
6 19 69
12 19 0
2 12 62
6 0 15
17 19 96
6 8 12
15 18 22
15 6 38
13 9 0
7 3 90
10 7 96
15 14 57
18 13 46
18 0 16
6 18 8
7 9 35
2 14 12
18 7 56
18 17 56
12 6 11
13 0 5
7 5 95
17 19 65
10 0 36
2 7 51
19 5 79
4 9 24
4 5 70
10 8 97
15 18 54
15 13 25
13 18 49
17 16 23
9 19 18
10 5 63
4 10 8
4 9 24
7 18 0
14 9 86
19 5 82
19 5 25
18 9 31
15 16 79
11 5 28
19 14 71
12 18 34
5 17 44
15 18 82
11 1 69
17 2 93
8 5 15
13 12 47
1 12 16
11 15 91
15 4 35
3 1 79
17 5 31
2 6 85
8 1 31
9 5 13
18 16 64
6 8 48
19 17 46
1 13 32
9 8 36
1 6 29
13 4 53
3 6 13
16 1 87
0 17 25
1 7 90
11 13 46
2 7 54
7 19 75
10 14 27
1 13 57
1 9 79
17 19 76
16 7 71
11 12 59
7 16 29
6 14 14
1 11 44
6 3 82
19 16 71
15 19 84
19 13 37
17 4 46
10 3 93
10 18 31
14 7 67
2 4 7
5 15 40
3 1 54
12 0 99
14 12 79
10 2 79
3 10 70
16 13 44
14 3 10
7 0 93
10 12 98
10 3 76
19 11 94
15 11 26
7 12 31
0 18 64
9 17 84
3 1 21
6 0 52
7 13 88
7 10 25
9 18 5
8 0 8
9 8 66
16 18 72
0 4 55
19 13 84
17 1 27
7 18 34
19 5 94
7 12 61
14 12 85
10 12 12
18 9 1
1 10 44
18 4 78
19 13 69
4 0 88
14 4 85
7 18 66
19 5 43
15 8 57
14 18 80
5 4 34
3 1 86
16 5 83
5 7 57
1 2 64
9 5 54
7 18 66
6 2 68
2 13 65
8 13 15
4 19 99
7 1 38
3 17 37
10 7 29
5 1 92
7 17 75
17 13 23
7 16 79
2 4 2
5 7 29
12 3 92
0 10 49
15 4 18
18 19 5
1 18 22
11 4 11
18 15 98
0 3 88
4 0 22
19 8 10
3 13 77
12 18 91
18 6 81
0 16 92
8 7 56
2 6 5
10 7 8
8 16 22
15 12 68
19 2 84
15 2 22
8 11 47
19 2 28
19 14 60
5 16 34
1 4 33
4 11 4
6 5 25
14 18 64
14 15 48
2 1 49
6 10 74
3 10 15
12 8 66
11 16 98
9 17 75
5 1 46
0 7 66
16 18 65
15 8 62
9 1 63
8 11 67
14 0 66
15 17 27
12 5 8
7 1 97
3 10 9
0 15 97
19 3 54
3 8 20
17 9 98
17 14 65
8 3 20
7 3 7
7 9 74
12 17 56
0 3 73
2 10 10
2 19 22
4 7 14
2 14 38
17 1 82
3 5 13
19 12 29
1 16 82
19 0 50
18 15 73
14 5 77
13 3 0
9 10 33
2 4 33
13 9 69
9 1 20
19 0 63
12 0 66
11 12 19
11 12 3
17 14 57
8 19 34
7 17 35
8 6 96
16 4 35
13 18 82
4 13 91
3 17 99
0 9 0
14 18 32
13 5 9
16 13 13
10 2 67
15 16 3
9 17 10
15 4 83
18 13 17
11 4 7
6 0 19
17 8 84
1 18 53
6 8 70
8 16 32
6 19 79
18 13 89
9 2 32
3 15 44
2 19 64
11 13 90
0 3 25
8 14 67
2 17 98
10 7 95
1 7 28
13 0 20
16 5 14
6 7 0
11 9 55
15 17 88
14 18 62
14 15 24
8 5 94
7 1 28
16 10 14
15 0 83
19 7 81
2 13 53
0 3 54
15 13 77
16 11 38
4 11 46
10 7 61
19 15 70
8 1 73
8 12 38
5 16 83
5 18 15
6 19 29
0 8 9
10 14 1
15 10 51
13 9 21
2 14 20
14 13 21
19 13 67
7 16 47
4 11 21
5 7 9
6 10 26
5 8 60
13 14 9
6 16 87
19 4 85
11 18 43
18 4 74
17 15 42
8 6 83
11 5 94
16 3 74
19 1 43
1 4 96
8 0 53
7 19 38
8 13 25
0 19 83
15 0 31
13 16 21
19 0 33
19 4 85
0 10 62
0 19 50
1 8 64
12 4 5
15 10 78
12 3 55
2 8 12
9 14 19
13 9 95
11 1 77
2 8 43
5 17 85
5 4 7
10 4 24
10 12 13
6 18 0
10 16 52
16 9 46
15 11 14
10 8 1
8 0 48
13 2 20
19 11 80
11 0 17
9 2 67
1 18 53
8 19 40
17 13 0
15 16 48
13 7 25
15 18 72
14 18 95
3 4 51
15 10 33
3 15 94
14 15 61
14 12 29
12 5 76
14 7 4
4 3 79
2 13 30
19 16 20
10 17 96
0 1 12
6 8 65
0 15 56
17 3 77
16 13 69
0 3 57
14 17 16
11 19 52
7 14 21
11 3 30
1 7 94
11 8 83
2 13 70
9 17 91
8 11 90
5 8 22
18 16 17
14 15 85
0 10 7
7 15 96
13 12 48
19 17 21
14 18 10
0 8 68
16 8 42
14 4 21
2 8 73
17 3 35
12 6 42
4 1 97
11 8 89
15 4 36
18 7 25
18 16 26
0 3 76
7 11 63
15 1 49
5 1 61
6 19 22
10 4 55
14 6 0
19 16 48
8 15 75
7 5 12
5 2 69
1 9 16
2 14 71
9 11 15
18 17 42
3 18 70
18 1 48
16 17 17
3 19 43
9 5 95
15 14 94
10 8 14
7 10 54
18 17 95
1 19 87
17 16 21
18 19 12
18 12 96
8 1 29
17 6 79
12 0 99
8 15 87
10 18 98
17 0 32
8 11 11
16 6 99
17 12 16
15 1 99
2 8 15
19 4 42
12 10 5
18 14 4
15 19 17
13 4 44
11 17 68
19 18 22
14 10 57
17 6 88
7 11 97
11 16 68
4 18 7
3 9 63
4 9 85
9 2 82
13 6 10
18 19 71
8 7 25
10 4 93
9 2 57
5 9 57
7 9 17
14 4 24
7 10 1
16 0 41
18 3 83
10 11 14
8 15 36
16 7 95
8 4 84
10 11 84
1 5 91
2 17 30
5 9 91
11 3 92
11 2 91
18 14 75
2 7 61
15 2 72
17 16 35
12 7 53
17 14 38
1 6 37
17 13 50
2 1 7
10 4 30
16 10 10
17 19 29
8 9 21
13 7 19
7 19 30
15 5 16
0 16 52
18 8 95
0 5 59
0 12 24
6 17 86
9 14 65
2 14 38
7 6 44
5 3 75
2 13 15
6 14 41
19 10 52
9 2 73
16 19 75
18 14 90
14 6 18
0 13 66
14 3 63
13 15 97
14 12 95
8 3 70
17 11 87
14 18 11
0 14 4
19 17 99
3 17 18
2 3 81
6 9 43
1 0 20
12 9 73
8 0 64
18 2 71
2 11 98
9 4 92
1 15 44
12 15 57
10 19 62
11 9 59
18 8 1
8 10 45
4 18 8
10 9 90
19 7 8
8 13 2
4 10 26
8 9 69
10 14 91
0 1 29
15 1 89
3 18 65
2 17 24
7 14 61
19 2 98
7 9 97
7 8 19
3 7 72
2 14 30
11 5 91
18 14 15
12 3 64
7 18 38
9 11 74
1 14 5
11 4 49
14 11 12
5 0 13
5 3 10
8 17 33
18 9 72
13 11 40
8 5 80
7 12 89
2 15 51
10 6 57
15 12 57
8 19 27
18 16 16
2 16 78
3 7 29
6 14 61
12 16 97
5 13 18
19 18 42
10 6 71
18 4 29
17 10 40
12 1 73
15 14 49
0 18 43
0 4 86
8 6 48
14 7 17
11 12 40
8 18 47
1 13 17
7 4 74
2 18 48
3 10 40
4 10 2
9 12 0
4 13 0
6 0 78
5 6 39
11 1 32
18 14 85
7 5 25
14 7 56
2 15 73
1 3 10
9 3 3
16 10 82
5 1 10
0 16 39
14 3 43
10 4 7
0 11 60
15 6 12
16 8 68
1 4 74
14 0 31
19 0 47
12 11 60
4 5 58
14 18 59
12 15 35
8 0 55
5 19 20
15 18 52
13 17 58
0 6 75
10 16 64
17 6 74
13 17 24
11 1 42
1 17 30
15 3 78
16 9 12
6 9 15
18 17 17
5 12 18
10 6 4
18 14 25
8 12 30
10 1 8
18 8 3
17 18 22
16 8 46
0 1 63
11 4 81
11 16 17
19 0 10
17 16 52
4 6 95
5 10 86
7 2 54
14 4 73
15 16 15
9 7 2
5 9 53
17 2 23
10 12 53
17 0 3
8 12 48
17 0 81
1 0 84
10 0 36
9 10 77
16 9 75
19 13 80
5 11 25
13 19 61
8 11 43
12 14 11
2 18 71
9 18 50
3 10 26
10 3 79
4 11 97
1 12 94
12 1 9
1 4 48
3 12 16
15 1 11
16 8 60
9 19 70
17 11 87
4 2 49
9 10 70
2 7 58
6 10 2
18 17 41
3 11 91
19 9 12
6 11 18
2 7 65
14 3 53
12 16 14
12 15 89
12 6 6
17 3 49
6 9 81
4 10 40
18 7 68
1 15 88
4 17 46
6 8 73
9 5 42
13 10 56
17 9 54
6 2 15
7 0 59
13 5 93
15 10 12
15 11 91
10 11 41
12 5 88
9 17 9
1 2 16
19 15 70
3 0 89
4 15 52
13 3 39
17 11 56
9 4 99
19 13 22
8 16 28
5 8 58
10 6 1
7 9 30
18 9 81
16 0 45
4 2 8
1 16 65
3 16 17
14 0 64
12 14 0
9 7 99
13 14 41
10 19 52
8 7 27
9 12 93
16 6 3
5 7 43
11 12 76
7 8 33
18 14 32
0 3 39
6 3 19
3 4 91
2 11 42
8 0 86
14 15 93
2 12 63
2 6 90
10 5 31
14 19 80
8 13 59
2 17 48
12 15 38
2 13 8
11 7 82
17 5 56
13 10 81
2 1 44
18 0 53
0 5 79
10 12 78
14 6 76
6 8 63
12 18 37
2 12 73
4 1 31
5 13 68
5 7 7
14 8 57
7 6 22
13 9 51
6 12 48
7 15 71
18 16 16
7 8 47
11 2 89
17 12 61
8 1 87
7 9 75
19 18 70
10 4 3
3 11 55
10 18 10
13 1 23
14 6 66
14 13 69
18 5 48
15 3 77
9 18 47
10 14 99
8 14 55
13 3 40
15 0 60
7 9 14
7 12 70
12 18 37
14 1 61
12 5 84
1 6 32
1 18 60
14 12 95
8 18 37
11 1 40
1 7 36
11 1 33
19 2 13
1 5 43
16 7 97
0 5 93
9 12 89
13 17 67
7 5 76
0 9 79
5 12 31
8 2 54
5 17 46
16 3 94
3 19 55
13 2 1
13 1 29
15 9 77
16 17 13
5 11 2
1 16 63
12 1 49
2 10 90
19 8 38
4 19 89
6 16 62
17 15 90
6 15 89
15 2 77
10 7 62
18 12 27
13 0 83
16 9 8
15 1 75
12 16 94
13 7 34
12 7 16
12 14 95
0 17 15
7 1 67
8 17 16
17 0 68
17 18 56
3 2 46
0 16 67
5 18 0
1 17 73
19 11 42
19 8 31
11 9 73
7 19 38
2 8 94
3 1 84
15 19 2
19 0 93
12 7 43
0 10 16
8 7 13
19 4 12
17 4 47
11 4 74
7 8 87
17 15 46
1 5 15
15 11 58
7 17 14
15 14 63
3 16 2
6 17 9
11 0 14
16 19 97
10 9 1
14 10 15
15 2 93
11 10 5
1 16 24
4 15 7
18 6 14
8 14 73
17 14 1
3 4 72
6 0 57
3 7 49
17 12 4
0 3 23
7 3 22
15 5 16
2 4 98
8 15 43
7 6 4
2 17 44
13 15 81
9 2 36
3 17 16
14 10 63
2 9 17
18 3 67
7 13 86
7 4 56
18 8 20
14 15 16
11 16 68
4 9 64
19 17 53
1 2 55
2 17 39
4 7 4
3 17 59
3 0 40
11 8 61
17 1 89
9 8 53
17 16 1
11 2 67
15 6 62
16 8 90
8 19 98
6 3 94
16 2 41
9 12 76
17 18 40
4 1 91
16 1 43
19 0 81
17 13 92
8 18 84
0 1 10
14 2 44
0 18 20
10 11 9
16 10 58
6 12 7
3 14 56
16 9 90
7 9 9
9 17 4
17 11 11
0 7 40
3 9 44
16 13 40
4 1 70
2 16 65
16 15 28
18 3 44
13 1 76
12 18 2
15 10 55
14 7 62
15 0 92
14 11 1
19 10 7
4 7 37
5 3 71
12 19 90
1 10 55
17 15 49
8 17 32
9 8 43
1 15 89
7 17 11
14 11 83
5 0 8
16 17 28
0 15 47
18 3 1
19 2 79
11 1 61
19 4 75
13 8 88
14 1 39
5 17 38
10 3 53
14 15 89
16 6 1
3 14 82
3 4 66
11 12 18
12 11 11
11 10 34
18 14 88
5 6 81
4 14 56
16 10 76
18 6 41
17 8 56
19 0 17
9 10 27
1 6 0
0 1 86
19 2 92
15 6 79
13 4 24
18 13 93
14 1 71
1 7 65
4 11 27
14 17 85
4 13 79
8 16 81
5 6 69
6 14 61
7 0 25
17 0 18
5 19 72
0 2 42
12 19 34
8 15 23
4 12 13
19 17 42
16 0 19
0 6 2
14 12 19
9 10 82
16 12 40
9 15 84
19 18 61
1 13 20
5 4 69
13 10 61
6 1 40
9 7 23
15 7 79
9 10 47
14 5 24
6 5 30
5 16 69
5 2 49
1 2 40
10 12 74
2 6 85
12 9 30
12 3 29
10 9 61
5 7 35
19 5 39
13 2 49
0 7 64
14 16 98
12 3 64
0 15 83
1 19 22
3 14 1
3 8 80
14 5 6
7 0 42
17 7 2
13 17 2
15 19 90
12 5 63
2 10 72
14 12 48
17 1 46
1 5 84
16 19 67
8 15 81
4 12 64
9 18 74
13 9 4
12 0 50
2 9 3
7 0 0
0 5 55
5 4 91
2 0 69
12 5 2
1 9 3
14 8 22
17 4 64
10 1 74
2 18 70
5 13 57
13 3 12
18 10 1
16 17 56
16 9 33
18 0 39
19 14 97
10 5 51
7 5 24
12 1 26
16 3 63
10 8 48
11 14 12
2 10 85
18 0 81
17 8 19
0 9 36
19 8 14
5 13 56
19 9 14
0 1 4
4 12 74
5 19 4
12 19 61
13 11 58
13 10 19
16 6 18
2 19 2
10 16 15
17 8 35
6 11 22
3 8 23
7 0 4
16 9 1
0 16 52
18 9 28
3 19 77
18 7 75
16 14 2
14 6 71
13 9 31
11 7 1
8 5 30
14 8 19
6 18 49
2 5 40
3 4 27
16 6 7
13 12 53
6 11 95
2 16 19
1 3 20
7 18 28
18 19 18
8 7 42
13 12 94
2 12 52
10 14 3
17 12 43
19 11 52
19 1 46
12 15 7
12 5 42
17 4 38
13 0 1
18 2 97
4 16 47
16 17 18
9 16 84
0 14 53
5 3 65
9 4 9
5 17 69
9 1 87
10 16 7
10 17 58
13 8 68
3 4 20
2 19 21
