100 10000
3 66 2
3 65 32
49 88 49
38 25 45
60 92 72
96 93 41
10 17 45
45 41 98
62 97 13
0 26 89
68 60 53
85 75 42
8 66 24
9 76 16
87 9 88
18 96 30
1 31 21
74 24 74
30 95 68
90 24 64
60 74 99
51 28 65
22 70 55
97 98 40
28 99 73
26 33 76
80 20 57
76 65 53
47 69 65
35 22 66
47 21 10
66 48 40
13 37 79
73 57 4
76 90 36
93 27 31
38 53 63
66 12 35
41 12 11
26 87 19
75 57 94
48 41 99
78 61 13
86 53 38
84 85 97
57 90 43
80 88 11
82 98 91
49 58 95
64 50 10
73 28 56
0 86 25
10 16 58
54 74 33
36 32 38
49 9 97
31 28 8
25 86 41
67 83 89
10 17 2
65 28 55
82 62 51
26 66 56
3 49 23
54 52 66
37 54 18
40 96 64
46 79 78
86 54 31
21 81 33
97 8 29
49 64 32
95 40 23
36 78 39
11 9 97
96 1 38
75 12 86
14 35 57
67 76 67
42 86 12
85 0 34
98 69 40
43 10 86
18 62 89
65 91 39
1 67 2
71 80 43
99 80 28
74 33 8
92 93 31
31 47 74
43 82 95
25 56 5
67 88 31
19 81 91
6 39 50
91 46 65
19 26 48
48 54 69
89 72 28
10 32 70
61 47 53
79 83 57
15 93 8
27 13 87
33 90 74
21 36 26
69 80 82
63 82 24
36 6 39
35 90 53
78 72 49
36 45 45
57 99 51
14 59 12
35 7 84
46 8 33
91 2 96
98 29 5
38 0 86
37 0 77
82 31 6
80 51 93
70 58 57
68 78 2
19 31 99
25 85 67
83 36 78
3 48 34
70 2 42
45 97 95
78 8 10
34 56 89
89 82 45
66 13 95
23 47 79
49 48 73
22 9 47
71 14 83
4 77 25
9 87 67
12 62 63
41 89 69
50 70 54
10 9 87
33 76 95
15 62 81
40 94 54
20 56 71
97 46 61
25 42 62
15 1 3
22 57 4
91 46 34
23 64 43
75 86 40
23 17 25
81 27 97
46 1 45
68 90 83
50 33 7
39 78 82
43 60 33
55 5 23
97 95 93
83 56 85
18 9 64
89 63 41
32 12 88
80 50 2
38 67 74
92 30 20
0 22 17
25 70 75
4 58 24
43 19 6
69 11 17
57 64 67
53 17 57
1 62 17
91 14 97
42 21 51
64 32 87
36 94 65
38 33 87
23 72 6
97 58 61
65 72 95
92 69 79
17 59 39
75 11 98
61 59 43
66 62 22
8 38 17
66 0 22
32 23 44
35 96 98
2 52 21
65 75 79
53 9 20
87 95 27
41 88 52
42 34 81
80 0 99
27 95 53
61 55 75
69 89 97
91 67 94
23 98 44
73 93 21
29 82 17
78 80 32
30 39 2
40 62 3
54 48 11
82 29 55
32 11 62
17 74 66
8 61 99
9 63 87
98 20 19
22 35 72
60 23 29
83 9 66
92 90 76
65 64 54
83 31 59
48 45 98
94 5 72
87 64 12
42 31 86
42 12 62
0 40 40
53 20 44
78 98 88
80 22 81
41 47 47
61 26 19
6 65 83
55 88 7
81 22 6
79 30 82
84 10 88
11 97 46
52 95 11
6 42 97
13 96 95
91 99 88
58 26 62
15 36 44
40 44 3
92 70 45
36 92 67
23 59 82
39 86 94
43 66 55
41 66 82
73 36 56
81 89 80
18 23 75
64 47 71
63 12 82
30 46 42
53 27 56
90 30 76
61 62 65
19 50 8
83 65 34
14 90 90
46 58 7
53 97 65
31 24 41
74 10 44
76 51 71
59 90 34
74 36 95
9 31 98
12 74 5
78 97 14
13 96 69
84 70 27
66 8 84
40 96 44
52 38 5
97 33 47
1 17 2
36 63 59
12 30 18
57 4 94
59 15 49
21 6 67
41 40 74
1 33 26
55 21 28
7 45 57
23 11 91
10 97 66
37 78 70
67 94 96
89 1 19
70 74 45
8 59 88
42 43 2
93 44 82
28 3 20
5 51 23
34 87 2
65 11 86
22 91 79
19 91 39
77 45 89
83 2 47
18 98 94
36 80 52
85 76 30
22 46 98
79 22 8
69 21 48
68 22 73
21 63 49
12 78 82
43 34 96
17 81 26
70 9 34
37 64 53
2 31 54
51 52 59
93 77 41
13 66 86
55 94 16
76 92 97
49 0 27
29 4 29
63 37 7
76 5 83
24 46 23
51 6 47
5 67 36
45 74 67
81 61 93
53 10 45
7 0 36
96 36 8
48 60 18
4 34 55
70 93 50
56 80 98
18 51 32
95 48 57
89 82 1
28 61 85
13 67 40
8 55 77
52 68 41
7 60 6
26 63 39
89 34 77
7 65 67
9 89 68
21 15 8
3 18 98
19 51 3
6 61 14
77 21 57
88 33 55
67 87 77
43 89 12
50 13 11
93 2 70
25 54 19
83 24 67
21 48 80
91 83 35
22 49 45
88 34 75
57 2 67
28 42 89
76 44 34
74 8 84
89 7 25
74 81 69
17 5 53
51 66 99
5 0 64
2 12 32
77 84 85
72 98 14
59 72 22
63 42 17
37 72 22
52 83 45
75 72 88
48 17 38
74 93 10
20 5 78
88 5 14
32 95 53
64 12 58
87 50 44
22 18 47
21 29 94
51 87 38
55 76 61
20 84 71
37 71 27
71 32 6
20 15 37
15 33 19
88 90 46
49 6 2
99 41 24
95 17 8
30 39 70
38 84 76
72 68 25
40 47 79
54 63 66
9 46 89
10 16 18
59 46 73
33 18 56
34 41 94
89 53 96
25 55 14
37 26 98
72 62 16
42 44 84
40 90 33
15 6 70
81 66 60
26 55 78
67 58 94
39 37 75
65 37 91
71 12 78
5 1 35
47 82 13
33 49 21
62 10 12
83 12 87
52 64 53
67 57 72
42 39 66
37 94 8
83 58 86
11 42 55
74 41 42
2 71 22
20 78 4
41 55 45
86 52 91
32 47 59
38 33 16
8 6 0
96 69 87
9 95 53
71 44 78
80 73 11
61 30 22
15 74 9
37 48 56
29 41 69
84 90 97
77 66 6
7 19 51
10 36 80
80 40 57
47 45 70
42 50 79
32 49 67
0 21 54
30 17 27
75 79 37
62 75 63
2 64 52
32 18 67
14 97 97
70 65 45
31 19 80
57 92 33
50 84 53
59 11 63
51 92 10
43 61 57
91 58 10
4 80 70
76 12 40
12 92 62
86 31 9
9 31 50
12 1 8
80 86 6
97 66 17
16 33 52
50 30 56
18 8 24
45 73 29
45 1 37
87 50 28
2 14 33
51 41 0
90 63 52
99 25 14
44 76 91
10 78 58
38 76 85
21 92 15
50 35 92
24 87 17
11 10 25
78 73 19
69 60 51
50 84 8
90 25 93
13 77 40
95 78 46
26 64 10
23 86 87
64 54 14
32 22 80
15 34 15
84 10 31
57 13 73
11 72 36
99 8 97
1 87 68
33 60 74
28 7 14
27 23 1
49 60 51
33 75 89
80 18 58
28 36 67
94 7 68
28 70 24
15 95 90
61 23 6
37 33 54
21 44 57
27 8 99
29 55 19
11 60 21
24 8 41
55 78 68
87 77 16
21 49 52
41 97 31
85 96 18
43 74 94
51 99 70
12 10 47
24 99 15
53 58 56
13 37 48
75 13 21
19 32 65
28 25 61
45 28 78
97 71 46
13 54 28
41 80 96
39 5 58
75 96 43
22 39 28
17 68 20
11 46 7
57 65 43
34 3 58
97 22 93
71 10 60
72 79 38
22 46 21
59 62 83
86 20 6
20 26 68
58 50 95
44 60 73
27 20 32
80 94 86
59 72 74
84 68 72
5 82 27
27 82 73
77 23 41
21 58 91
4 61 19
31 35 13
95 2 73
28 7 79
5 93 82
17 28 46
22 33 64
80 25 79
39 95 84
0 30 85
9 88 96
12 93 34
7 35 63
23 66 58
84 31 28
10 38 82
56 87 90
77 16 48
44 83 77
95 8 8
40 51 80
8 48 91
70 13 72
2 78 20
21 71 81
3 37 44
77 72 61
50 68 86
14 87 90
74 83 27
76 91 95
21 7 75
21 56 69
17 95 19
87 14 22
55 77 66
99 40 58
28 91 47
92 87 80
77 37 87
34 11 46
27 39 53
26 90 50
84 92 93
83 77 23
96 48 40
47 38 56
92 17 85
27 22 63
73 34 98
61 97 43
27 24 76
91 9 90
34 75 86
32 29 89
0 33 13
95 52 38
69 49 33
34 59 50
57 80 72
58 67 91
10 7 47
3 21 44
52 36 7
29 56 8
99 80 79
42 95 6
23 29 20
35 90 82
52 30 16
32 4 57
93 55 11
26 11 69
16 41 42
75 83 12
41 93 88
35 24 66
18 16 44
61 18 14
29 74 32
49 17 90
83 37 86
87 16 60
93 86 35
2 88 71
86 7 79
86 58 66
34 10 56
84 66 94
21 50 6
87 35 83
53 89 88
13 85 10
55 94 81
99 17 54
9 52 27
8 87 8
43 98 32
95 27 96
46 63 9
40 45 11
33 80 84
90 59 73
10 30 7
16 25 77
41 43 65
73 76 56
7 8 46
76 27 87
30 87 81
15 90 11
72 53 70
70 77 95
41 15 90
50 97 48
60 61 61
99 86 16
25 0 78
6 79 25
37 44 52
70 55 14
11 51 44
34 91 63
8 32 9
78 99 4
7 28 21
66 98 16
25 55 12
58 93 21
0 59 79
8 7 14
56 8 61
95 92 7
29 20 1
96 91 40
58 1 71
30 60 23
34 79 61
55 42 73
37 92 75
63 15 27
16 21 16
65 19 58
68 50 41
39 90 45
62 48 82
8 81 45
69 32 76
70 55 30
35 17 57
58 42 14
29 69 26
94 70 40
82 68 10
25 18 14
97 49 35
77 88 10
25 27 49
95 19 13
11 71 82
49 16 1
11 6 85
62 30 60
24 27 43
42 62 3
39 33 40
3 36 37
72 23 27
66 9 66
99 36 9
29 11 73
51 15 74
93 32 61
77 5 22
49 30 39
87 22 6
4 36 41
93 51 77
93 13 99
39 80 90
67 75 27
2 32 82
51 72 31
58 95 44
43 28 4
28 63 8
43 36 8
75 47 74
51 70 30
74 91 95
32 58 45
90 99 88
76 62 46
90 39 24
86 31 78
32 96 12
74 56 99
58 68 52
0 15 70
32 86 45
34 21 79
94 60 14
12 33 8
78 70 44
68 66 23
45 52 73
46 15 18
68 37 59
46 56 61
15 46 67
41 15 83
46 62 69
3 41 30
45 94 10
54 55 70
14 41 24
20 21 13
61 27 36
39 10 47
70 95 98
9 78 27
11 62 36
53 62 44
48 67 28
94 83 98
30 85 8
51 58 60
53 76 56
29 13 40
26 41 77
4 61 56
92 43 1
76 90 73
89 87 79
80 79 20
70 88 83
75 81 94
51 82 60
88 30 94
50 26 72
46 21 51
85 58 85
54 40 68
91 25 92
49 32 2
38 97 13
67 62 36
85 4 61
81 49 51
44 79 88
10 74 35
85 51 81
98 83 12
47 67 2
73 57 63
54 94 83
40 48 18
23 51 69
88 12 49
11 66 93
17 34 65
1 84 55
1 13 43
94 55 64
6 92 88
21 25 84
68 43 17
58 83 5
47 0 15
20 5 24
43 77 73
74 94 28
53 85 53
5 18 32
82 3 41
1 32 47
69 55 43
22 9 86
57 28 27
62 82 52
73 41 63
3 32 2
58 20 50
86 8 86
78 32 47
60 75 64
0 29 18
54 32 14
19 27 16
26 69 34
83 99 79
28 74 70
77 62 42
50 87 62
24 53 32
3 17 67
2 20 42
48 80 23
42 39 60
98 78 27
2 99 1
49 79 40
9 3 31
8 35 97
80 53 77
74 80 1
12 97 18
89 90 86
14 78 22
25 2 30
59 43 54
83 39 39
40 88 59
64 97 67
73 11 88
82 84 87
23 1 65
96 59 38
94 24 55
63 16 24
51 35 52
95 76 23
98 69 15
76 35 67
60 17 18
49 30 79
79 82 92
40 8 65
78 34 28
72 90 94
27 7 95
31 69 26
8 38 84
85 94 32
98 35 45
79 49 52
24 34 39
63 91 70
69 44 79
61 95 80
19 40 97
79 30 87
36 92 55
57 52 37
78 9 43
9 86 14
15 46 47
55 33 58
37 41 61
81 53 99
53 28 66
36 65 43
79 38 89
98 76 73
24 32 49
92 17 86
59 78 69
22 96 64
91 2 15
16 57 39
30 93 59
68 1 81
79 31 42
91 47 95
96 19 46
69 12 39
68 92 62
22 41 65
13 14 69
71 2 37
68 38 93
55 87 53
16 96 95
32 31 21
37 35 38
7 12 6
11 57 21
32 87 33
87 28 20
0 36 54
7 48 33
11 61 63
71 72 55
59 12 8
75 93 96
29 12 57
45 59 30
44 21 59
78 24 64
1 4 69
53 42 93
7 34 72
2 33 71
8 88 70
19 42 85
44 6 4
31 75 13
90 34 1
32 39 32
99 54 64
35 29 72
33 37 36
68 85 61
79 17 38
26 44 87
88 62 17
59 47 34
38 32 99
32 84 60
11 14 99
98 39 60
66 13 98
26 54 1
17 49 50
68 52 91
52 94 66
55 81 38
93 49 10
52 40 11
32 85 88
15 88 57
48 58 43
65 28 25
72 2 30
18 47 21
45 56 30
40 16 84
1 10 89
34 27 18
7 98 28
41 13 80
93 46 52
29 3 95
54 25 49
50 55 68
30 93 70
52 83 38
57 84 14
38 37 86
54 89 83
10 86 84
93 67 42
75 3 89
20 2 41
91 35 55
30 13 83
65 5 92
32 71 56
20 42 92
89 88 67
38 89 86
70 87 46
70 49 9
74 25 42
71 11 2
88 42 3
74 55 85
53 2 78
71 94 25
57 43 47
12 83 56
26 15 29
60 76 11
36 0 32
32 47 18
20 40 96
70 10 79
98 20 20
89 95 44
26 35 19
48 54 96
38 16 88
49 83 10
68 97 45
14 27 8
48 32 74
6 51 80
59 43 83
29 81 53
18 45 4
3 97 50
46 12 20
27 86 86
48 78 83
31 30 76
10 22 23
66 33 49
79 16 71
63 83 46
75 66 21
48 97 14
22 15 85
71 60 25
15 20 23
0 28 7
31 81 46
19 92 0
30 20 41
74 82 19
85 78 56
10 18 60
12 98 41
75 96 1
92 13 51
94 14 63
75 37 19
52 84 13
35 9 60
83 87 20
60 33 68
77 85 53
77 83 14
36 16 91
31 32 14
89 11 70
61 38 49
45 72 85
79 24 95
25 82 52
93 81 87
56 33 54
66 54 88
12 48 57
39 59 3
37 59 39
91 12 69
44 0 56
50 32 79
62 57 69
46 88 63
5 88 69
73 92 69
99 19 8
30 26 16
61 78 90
29 85 28
58 59 0
6 49 93
73 1 9
91 99 14
47 40 65
13 66 53
31 46 63
38 30 16
0 18 65
49 96 85
31 42 17
46 57 62
37 93 17
2 58 59
6 64 53
88 54 74
95 0 88
83 55 21
92 69 16
77 66 14
54 28 83
82 71 89
18 0 44
87 23 31
45 36 59
19 13 64
65 14 77
85 1 55
46 76 63
79 26 30
44 7 90
49 9 91
49 86 95
45 61 5
50 46 8
40 52 95
17 60 82
43 34 68
37 9 1
60 16 6
13 72 56
69 96 23
74 57 41
88 57 72
5 82 31
20 65 21
75 67 38
41 85 18
21 68 41
99 62 21
74 79 86
18 55 75
23 5 9
56 15 27
55 84 23
25 60 60
94 56 19
22 98 12
52 85 37
44 93 29
6 41 94
53 43 72
76 78 78
54 17 51
34 27 78
49 29 20
54 23 45
3 44 41
59 16 89
60 58 51
40 63 93
9 60 10
1 99 84
64 11 44
14 79 95
11 70 50
55 92 98
6 4 14
59 41 41
57 15 37
30 75 43
39 98 66
83 51 58
54 55 18
2 74 86
84 99 11
27 18 27
36 97 26
3 78 11
14 71 24
89 60 99
42 38 47
58 99 84
33 93 90
53 44 83
94 95 63
74 17 52
92 63 69
84 38 99
28 11 47
53 2 59
78 91 46
44 7 21
60 41 49
36 0 67
50 22 96
25 29 36
4 15 18
82 74 20
92 15 37
30 56 26
65 27 19
48 8 31
95 62 56
70 32 14
86 65 57
34 10 51
77 27 98
42 43 34
86 21 60
38 25 95
75 48 63
47 11 0
72 57 29
77 14 13
16 3 78
26 29 89
68 85 67
10 60 86
55 37 19
45 6 35
17 41 53
30 51 25
20 39 70
99 2 88
63 32 33
25 78 30
48 87 95
48 28 12
39 44 79
48 73 11
66 63 14
92 26 38
88 41 44
93 3 33
31 93 12
51 66 22
3 91 76
66 19 1
25 81 2
52 64 31
99 64 87
55 19 67
21 25 71
75 16 7
38 63 44
95 71 64
91 61 76
3 40 67
87 29 30
27 10 38
41 82 68
69 82 71
82 10 97
50 69 6
87 96 5
3 10 66
41 75 77
8 68 77
77 19 79
37 58 9
34 60 82
71 91 11
32 79 8
77 37 16
24 32 31
92 44 3
21 18 39
97 41 55
56 95 13
2 13 63
12 80 14
0 88 8
15 61 73
10 48 68
13 99 5
38 66 42
42 13 71
96 57 60
53 10 39
72 88 57
97 55 87
45 1 5
28 91 55
20 43 72
60 31 29
67 92 42
75 99 3
39 9 94
65 40 54
77 1 93
62 52 48
12 86 90
64 54 9
85 50 50
23 29 71
53 15 2
46 13 87
59 42 21
11 12 68
18 82 61
68 62 46
82 24 67
39 49 89
7 5 80
60 38 21
51 22 63
45 46 5
46 24 25
89 4 94
56 66 37
74 55 87
41 3 72
24 51 75
13 45 89
95 11 14
92 86 7
64 21 63
75 74 11
40 67 22
20 57 59
97 98 44
71 39 50
69 43 40
25 22 5
98 32 86
9 11 47
87 79 95
17 92 73
3 22 52
69 75 14
2 78 82
52 21 5
95 2 71
70 50 93
56 68 9
25 35 59
97 60 39
69 24 18
23 92 70
25 89 96
66 48 38
11 23 16
88 33 6
33 82 96
96 17 0
97 80 46
83 28 86
75 36 63
87 90 95
5 23 12
86 24 9
20 37 17
31 77 18
53 83 73
77 20 27
34 26 32
5 47 30
3 88 3
37 44 93
76 83 16
86 61 24
25 39 35
7 77 6
48 15 82
81 26 35
38 69 18
60 83 49
62 64 46
10 56 99
34 40 76
94 91 23
72 62 26
9 53 20
32 86 54
9 4 63
42 96 49
82 27 95
46 62 44
94 60 92
66 35 32
35 92 14
52 38 91
39 11 84
33 74 43
79 5 38
21 91 51
23 51 20
2 71 19
16 85 44
91 78 91
37 41 68
52 97 23
71 65 27
39 55 6
24 47 2
32 8 61
30 21 50
89 27 94
58 38 96
1 16 62
49 56 5
21 82 44
8 84 71
16 76 58
21 67 86
81 45 76
78 36 4
90 63 65
47 32 81
45 42 38
91 77 39
25 59 23
53 80 90
66 20 42
89 62 80
84 46 71
49 79 70
32 77 59
66 15 80
65 8 8
58 96 40
93 11 47
70 73 73
88 57 25
70 18 34
77 67 38
67 81 16
21 18 65
60 87 93
26 14 59
63 71 79
54 87 36
12 78 28
71 92 35
63 75 0
6 30 79
69 57 31
19 60 41
71 46 85
15 29 44
75 23 56
69 58 75
31 82 50
21 80 17
71 65 83
43 78 87
40 0 73
15 75 59
20 92 98
6 78 8
82 75 17
84 73 57
39 86 63
38 17 12
31 19 50
9 55 88
52 60 78
4 38 60
94 2 2
71 54 80
1 63 57
35 32 21
40 50 91
73 28 37
4 59 33
8 21 50
11 23 17
14 30 32
46 43 69
83 33 63
8 96 38
65 71 47
2 5 45
95 93 99
41 67 36
12 94 94
34 1 67
49 7 4
8 72 56
19 47 19
48 34 73
32 71 62
20 17 66
11 2 95
10 68 47
68 1 86
60 47 32
60 90 9
92 16 85
23 82 96
69 73 10
67 61 58
56 23 18
17 47 38
8 15 40
38 20 25
61 12 26
63 75 27
32 64 86
0 29 10
51 37 90
34 45 80
7 81 52
37 99 6
84 66 13
49 69 10
90 33 13
79 99 49
51 31 69
65 44 16
36 95 78
99 26 15
79 57 28
51 35 59
43 6 92
10 81 66
82 43 63
5 9 87
85 90 45
60 13 61
32 98 64
99 85 68
92 47 37
80 46 31
98 82 10
5 78 75
55 73 12
71 27 23
30 85 67
15 84 78
1 90 31
95 79 12
5 80 45
82 24 45
63 70 32
1 88 24
98 40 31
38 98 62
84 11 18
5 80 15
28 55 95
24 38 57
19 80 13
54 81 48
20 52 27
84 93 38
67 11 69
21 96 35
92 25 85
5 26 16
6 26 61
86 5 59
92 69 5
25 89 5
23 46 63
51 5 89
87 67 60
74 47 99
0 98 28
46 98 57
80 41 11
52 48 25
85 19 67
21 5 51
55 1 72
98 14 94
57 0 8
55 91 6
37 50 45
97 78 30
98 53 79
43 74 95
40 6 84
37 34 18
18 73 88
10 43 89
5 28 44
66 63 36
11 98 71
6 81 2
31 63 72
15 36 78
34 54 87
17 35 60
13 1 16
71 8 16
88 42 74
56 18 11
12 31 22
13 40 56
11 29 18
69 97 52
18 72 78
40 58 11
55 90 25
84 37 36
53 12 64
98 18 88
73 76 69
99 45 66
49 72 59
6 71 69
30 77 91
41 76 17
35 52 74
29 59 11
84 63 28
71 15 47
60 58 81
30 48 93
10 23 67
71 39 14
12 45 60
9 74 71
87 27 0
12 98 42
30 22 48
67 86 55
92 33 41
76 91 0
66 12 80
48 44 61
35 75 62
59 37 33
85 10 25
20 12 22
15 79 43
98 6 97
16 31 58
69 32 3
64 79 48
46 77 44
52 38 97
76 30 10
25 46 95
28 74 52
84 32 40
20 16 33
48 4 3
70 69 59
60 65 70
76 92 88
55 28 41
21 50 5
14 90 50
9 69 40
39 63 8
55 56 47
91 17 43
85 76 20
5 18 56
84 78 14
22 10 69
15 3 98
95 32 53
61 16 63
33 57 20
4 12 59
27 55 68
41 9 85
47 30 45
2 42 15
4 27 66
72 98 83
32 11 36
96 30 87
76 87 84
39 29 28
54 73 96
90 39 55
55 45 79
18 42 35
32 60 31
47 8 55
18 3 60
87 18 93
13 48 48
58 35 18
5 16 13
50 14 99
31 63 56
32 36 67
62 60 30
61 0 29
97 53 25
40 70 1
43 99 35
12 31 98
77 15 87
50 62 84
56 16 0
5 82 32
17 97 65
43 92 56
21 53 38
53 18 23
8 60 50
88 97 66
82 89 6
38 80 48
80 23 62
28 76 33
58 17 25
40 99 13
5 62 55
5 3 27
95 41 46
79 52 17
62 19 76
48 75 15
50 58 19
74 68 45
78 34 5
57 36 74
78 90 15
57 34 80
64 60 43
85 36 67
61 26 50
77 23 66
88 14 41
38 8 59
83 46 75
97 21 26
9 66 74
18 8 30
65 93 34
31 38 38
49 93 16
35 93 95
49 38 79
61 52 98
42 43 4
62 90 85
25 43 88
66 32 83
31 7 61
20 9 16
3 97 4
59 36 78
64 36 11
88 13 41
84 66 41
32 50 92
25 10 10
53 8 37
55 67 12
90 74 0
65 99 10
69 48 92
54 58 84
16 4 60
98 26 99
26 68 81
92 84 2
0 2 40
12 60 89
41 34 18
24 89 51
62 42 27
94 16 48
10 11 38
62 20 37
7 80 21
8 57 75
82 42 33
57 72 24
7 24 9
32 16 28
71 19 4
7 32 56
77 87 14
57 96 85
85 5 45
7 76 91
0 19 28
86 42 65
75 67 35
56 87 71
98 82 86
34 96 16
30 5 56
97 24 24
2 17 78
0 3 4
28 34 26
0 18 11
91 13 49
4 89 84
38 49 83
53 62 39
46 99 86
52 87 81
32 36 98
94 98 15
7 78 54
56 62 34
62 64 11
56 88 12
98 55 61
72 34 39
16 89 86
14 35 51
50 17 64
97 24 88
72 39 5
69 26 87
7 2 95
59 36 50
73 49 17
44 47 27
64 95 13
82 37 4
80 14 90
44 53 14
37 65 52
86 61 75
9 33 61
77 16 38
2 77 41
8 64 89
13 6 52
0 7 16
96 85 64
55 30 88
85 50 17
48 16 1
27 30 32
83 17 71
97 53 27
70 88 31
42 69 10
16 95 91
8 63 8
97 44 17
36 52 72
20 2 94
38 88 79
13 56 76
24 18 10
84 4 9
94 36 62
29 74 8
63 17 27
76 73 33
70 39 42
0 54 19
18 56 41
5 1 55
7 83 79
70 20 95
11 63 57
99 32 93
22 97 18
50 24 18
19 12 6
62 40 0
11 64 40
45 17 65
66 78 58
75 46 18
69 56 42
54 8 61
91 25 37
67 95 13
81 71 78
55 73 57
86 3 84
36 54 17
86 55 80
52 76 99
57 43 43
66 63 73
6 45 76
17 1 63
75 88 6
53 90 64
79 31 81
44 97 45
41 62 63
93 55 2
49 1 55
49 12 90
46 42 17
54 41 90
71 87 93
10 84 26
76 73 81
76 47 8
41 71 74
82 76 31
42 71 97
32 53 85
70 95 75
57 38 10
31 35 57
41 5 81
98 76 76
38 50 54
67 42 17
4 65 35
76 91 2
61 49 50
45 59 29
36 83 53
67 33 50
81 63 9
84 92 44
67 58 30
17 36 66
67 18 9
45 20 42
69 0 56
81 16 50
11 53 87
1 36 95
75 6 37
57 16 2
42 70 69
77 13 91
34 0 97
84 17 34
36 4 52
78 11 60
22 44 10
20 56 76
43 18 98
28 65 52
93 36 10
50 23 64
0 2 16
10 40 94
69 55 35
53 45 47
87 3 72
33 25 53
43 97 81
89 16 31
22 8 31
93 37 3
32 66 80
64 91 58
50 66 65
27 72 2
42 77 79
44 7 25
43 19 23
51 14 8
60 5 25
38 84 85
10 40 19
5 83 41
89 9 73
82 93 72
24 45 19
19 34 28
90 77 31
67 43 10
60 32 76
1 4 90
99 74 90
39 38 56
20 23 50
12 56 37
29 76 16
70 21 75
50 34 28
37 65 46
2 12 50
14 74 57
56 74 72
0 6 40
35 57 79
23 35 54
79 37 73
83 80 65
23 39 94
27 80 63
23 13 13
27 95 14
46 95 24
86 88 36
59 69 25
4 56 7
51 94 5
15 30 46
69 55 92
65 64 98
50 64 71
29 6 3
48 51 84
39 64 56
94 58 0
11 3 61
43 15 30
94 5 88
10 73 73
14 54 58
80 54 97
26 63 7
35 62 50
93 5 21
30 60 24
56 38 55
6 8 32
66 47 46
16 80 17
24 29 46
9 94 19
44 32 70
29 61 77
66 40 25
51 33 68
9 76 45
88 94 39
78 51 34
97 0 3
94 82 94
81 76 59
56 7 85
45 91 6
42 93 16
18 59 1
47 2 62
98 71 63
63 20 9
